"","Canadian Potato Prices"
"1",4200
"2",4480
"3",4590
"4",4690
"5",4740
"6",4560
"7",4930
"8",4350
"9",3990
"10",4000
"11",4160
"12",4210
"13",4630
"14",4880
"15",5090
"16",5300
"17",5300
"18",5290
"19",5700
"20",4970
"21",4570
"22",4540
"23",4740
"24",4770
"25",5390
"26",6340
"27",6470
"28",6350
"29",5910
"30",6100
"31",6160
"32",5590
"33",5220
"34",4900
"35",4850
"36",4860
"37",5500
"38",6230
"39",6270
"40",5520
"41",5220
"42",5210
"43",5800
"44",5160
"45",4960
"46",4780
"47",4810
"48",4800
"49",5530
"50",6360
"51",6230
"52",5460
"53",5300
"54",5660
"55",6320
"56",5940
"57",5640
"58",5220
"59",4980
"60",4690
"61",5540
"62",6510
"63",6480
"64",5750
"65",5760
"66",6220
"67",6900
"68",6350
"69",5840
"70",5520
"71",5130
"72",5110
"73",5550
"74",6350
"75",6430
"76",6100
"77",6200
"78",6350
"79",6710
"80",5870
"81",5540
"82",5420
"83",5160
"84",4990
"85",5490
"86",6200
"87",6320
"88",6120
"89",5870
"90",5880
"91",6250
"92",5470
"93",5580
"94",5320
"95",4920
"96",4670
"97",6080
"98",6940
"99",6960
"100",6340
"101",6150
"102",6150
"103",6510
"104",5890
"105",5650
"106",5550
"107",5350
"108",5080
"109",6150
"110",7110
"111",6960
"112",6010
"113",5770
"114",5880
"115",6550
"116",6480
"117",5930
"118",5820
"119",5310
"120",5280
"121",6330
"122",6480
"123",6880
"124",6520
"125",9450
"126",14460
"127",21120
"128",16750
"129",14000
"130",8830
"131",6920
"132",6640
"133",6460
"134",6220
"135",6490
"136",6770
"137",8320
"138",13120
"139",18510
"140",15510
"141",11260
"142",8930
"143",7110
"144",7120
"145",7110
"146",6950
"147",7100
"148",7150
"149",7860
"150",11460
"151",14600
"152",13810
"153",10740
"154",8150
"155",7600
"156",7520
"157",6310
"158",6830
"159",6250
"160",7120
"161",8500
"162",11730
"163",16010
"164",15390
"165",10960
"166",9010
"167",7890
"168",7050
"169",6710
"170",7070
"171",7080
"172",7070
"173",7900
"174",12490
"175",16410
"176",13170
"177",10010
"178",8040
"179",7160
"180",6660
"181",9330
"182",9360
"183",9410
"184",9410
"185",10250
"186",11740
"187",12720
"188",11990
"189",11800
"190",10350
"191",9450
"192",8950
"193",8510
"194",8710
"195",8880
"196",8900
"197",9950
"198",13150
"199",14030
"200",13490
"201",12830
"202",11240
"203",10100
"204",9910
"205",10280
"206",10080
"207",10150
"208",10110
"209",11670
"210",14120
"211",13850
"212",14180
"213",13690
"214",11610
"215",10480
"216",9710
"217",9080
"218",9640
"219",9940
"220",9590
"221",11580
"222",12890
"223",15590
"224",12400
"225",13770
"226",11130
"227",10740
"228",10120
"229",8650
"230",8790
"231",9190
"232",9720
"233",11440
"234",14410
"235",14860
"236",11400
"237",12650
"238",11000
"239",9480
"240",8980
"241",4970
"242",5050
"243",5220
"244",5390
"245",6020
"246",7040
"247",8870
"248",6500
"249",6760
"250",5700
"251",5370
"252",5590
"253",5260
"254",5380
"255",5430
"256",5800
"257",6660
"258",7250
"259",9140
"260",6600
"261",7070
"262",6330
"263",5850
"264",5760
"265",5220
"266",5520
"267",5600
"268",5790
"269",7000
"270",7590
"271",8670
"272",7180
"273",6910
"274",6000
"275",5300
"276",5600
"277",5440
"278",5690
"279",5590
"280",5710
"281",7020
"282",7310
"283",8620
"284",6500
"285",7120
"286",6220
"287",5720
"288",5460
"289",5490
"290",5580
"291",5580
"292",5910
"293",6960
"294",7690
"295",9500
"296",6500
"297",7060
"298",6260
"299",5580
"300",5280
"301",5240
"302",5380
"303",5660
"304",5500
"305",6760
"306",7650
